Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
10,,9/24/2015 8:23:38 AM,0,2.8398,29.566,448,0.8078,0.58295,0.46914,0.51633,0.55797
13,,9/24/2015 8:23:39 AM,0,3.0397,25.685,872,1.3965,0.72204,0.51107,0.49919,0.51701
11,,9/24/2015 8:23:39 AM,0,3.025,27.105,750,1.4578,0.76882,0.54113,0.55296,0.57366
24,,9/24/2015 8:23:42 AM,10,2.9398,29.308,327,0.52589,0.44542,0.45404,0.47703,0.51439
53,,9/24/2015 8:23:46 AM,24,2.8593,23.456,17,0.43042,0.43322,0.47235,0.52825,0.73228
40,,9/24/2015 8:23:52 AM,20,2.7707,31.827,230,0.56064,0.50105,0.53897,0.65272,0.7421
3,,9/24/2015 8:23:56 AM,0,2.9889,29.652,497,1.3469,1.2739,1.2476,0.7538,0.5785
20,,9/24/2015 8:24:02 AM,0,2.9261,29.308,194,0.50627,0.56919,0.59494,0.99823,1.0983
54,,9/24/2015 8:24:14 AM,0,2.39,-273.15,494,0.67284,0.86909,0.79666,0.8247,0.85974
255,,9/24/2015 8:24:17 AM,0,2.9261,29.738,632,1.4244,1.3844,1.187,0.96677,0.78943
10,,9/24/2015 8:24:37 AM,0,2.8398,29.566,458,0.82168,0.58573,0.47191,0.52466,0.57185
13,,9/24/2015 8:24:38 AM,0,3.0397,25.685,843,1.349,0.70124,0.5081,0.49919,0.51701
11,,9/24/2015 8:24:39 AM,0,3.0323,27.105,750,1.4584,0.77068,0.54244,0.54837,0.57505
24,,9/24/2015 8:24:40 AM,10,2.9398,29.308,332,0.52876,0.4483,0.45404,0.47703,0.51727
53,,9/24/2015 8:24:44 AM,24,2.8593,23.949,17,0.43881,0.43042,0.46676,0.53384,0.72949
40,,9/24/2015 8:24:51 AM,20,2.7707,31.827,230,0.56064,0.50105,0.54168,0.65002,0.7421
3,,9/24/2015 8:24:55 AM,0,2.9889,29.652,512,1.379,1.3089,1.2739,0.76549,0.5785
20,,9/24/2015 8:25:00 AM,0,2.9261,29.308,194,0.50627,0.56919,0.59494,0.99823,1.0983
54,,9/24/2015 8:25:12 AM,0,2.39,-273.15,494,0.68219,0.87609,0.80601,0.83404,0.87142
255,,9/24/2015 8:25:16 AM,0,2.9261,29.652,632,1.4216,1.3844,1.187,0.96677,0.78943
10,,9/24/2015 8:25:36 AM,0,2.8398,29.48,458,0.82168,0.58295,0.46914,0.51633,0.55241
13,,9/24/2015 8:25:36 AM,0,3.0397,25.685,843,1.349,0.69827,0.5081,0.49622,0.51701
11,,9/24/2015 8:25:37 AM,0,3.025,27.105,750,1.4548,0.76882,0.54113,0.55296,0.57366
24,,9/24/2015 8:25:39 AM,10,2.9398,29.308,333,0.52876,0.44542,0.45404,0.47416,0.51152
53,,9/24/2015 8:25:43 AM,24,2.8593,24.444,17,0.44719,0.42763,0.46676,0.53943,0.7239
40,,9/24/2015 8:25:50 AM,20,2.7707,31.827,230,0.57689,0.50376,0.5471,0.64731,0.73668
3,,9/24/2015 8:25:55 AM,0,2.9889,29.652,515,1.3849,1.3089,1.2797,0.76549,0.5785
20,,9/24/2015 8:25:59 AM,0,2.9261,29.308,191,0.50055,0.56633,0.58922,0.99251,1.0898
54,,9/24/2015 8:26:10 AM,0,2.3946,-273.15,495,0.67413,0.87075,0.80053,0.82861,0.86372
255,,9/24/2015 8:26:15 AM,0,2.9261,29.738,632,1.4216,1.3815,1.187,0.96391,0.79229
